id,sourceid,name,party,area,seat,start
0973474532717,bcd88e0a-70d7-4a1c-b52e-7d7cd4651382,Ibrahim Baylan,S,Stockholms län,52,2021-11-30
088461404416,a8deb000-fa7b-4672-b4ed-b0a5b9f98658,Richard Herrey,M,Stockholms län,53,2022-03-23
0545353563812,8399ff3f-1fbe-4984-b59c-4ada1ec670ec,Amineh Kakabaveh,-,Stockholms län,54,2018-09-24
0313390540217,9cd4ce1a-c1f5-4743-aed6-8e60569e9947,Ingela Nylund Watz,S,Stockholms län,55,2018-09-24
0752691002718,f0303245-c279-46dc-bffb-549d300db73a,Pyry Niemi,S,Uppsala län,56,2018-09-24
0718034011110,5e09bf12-6f96-4a96-ac0c-27203aef4d2f,Jessika Roswall,M,Uppsala län,57,2018-09-24
0204240926023,8a9f3c8c-8ce8-4a17-9e57-0109af47efcc,Markus Wiechel,SD,Östergötlands län,58,2021-11-25
0792733370419,0d218eb6-6294-4587-8abf-be0a351d7213,Magnus Oscarsson,KD,Östergötlands län,59,2018-09-24
042413114103,314fe869-7e6c-441f-8d1f-5ab2c6052f1d,Anne Oskarsson,SD,Kalmar län,60,2018-09-24
0457722435319,173d7387-fa63-4689-ac8c-e12f278487bd,Tomas Kronståhl,S,Kalmar län,61,2020-12-02
0916608741910,11cd95fa-2fae-45e4-a920-f7d5cf13e0d3,Suzanne Svensson,S,Blekinge län,62,2022-03-28
0138741628520,9d68c0c3-2102-402d-998f-dc56a410d19d,Angelika Bengtsson,SD,Blekinge län,63,2018-09-24
0134101155612,d3a9b52a-0d94-4610-b20e-d0ed8375c9d1,Rikard Larsson,S,Skåne läns södra,64,2018-09-24
0787535945527,f17df284-828f-481d-9f83-8c6d2b6d2576,Jennie Åfeldt,SD,Skåne läns södra,65,2018-09-24
0575283695521,d36827d1-ca61-4bf0-8482-7e9db375cb43,Helena Storckenfeldt,M,Hallands län,66,2019-07-02
0992473266516,e238e06a-acac-4fae-829c-1773ee851878,Larry Söder,KD,Hallands län,67,2018-09-24
0227531635413,9f5c5d35-c450-4068-923a-2d8d077223d5,Lars Püss,M,Hallands län,68,2018-09-24
0640627133410,cb53466b-8349-484e-9a7b-084561cdf8b4,Elisabeth Falkhaven,MP,Hallands län,69,2018-09-24
0828001951212,06f647f7-2937-4767-af38-04636afc040d,Ingemar Kihlström,KD,Västra Götalands läns södra,70,2018-09-24
0285527517421,54ecece4-3002-4cff-a4f2-f463efb2affb,Caroline Nordengrip,SD,Västra Götalands läns södra,71,2018-09-24
065701062615,49cb272f-9347-407a-bac0-06403fbec5b5,Runar Filper,SD,Värmlands län,72,2018-09-24
0554852839719,4db15792-072c-456e-a46c-6d0cee07889e,Mikael Dahlqvist,S,Värmlands län,73,2018-09-24
066036027425,cd568a26-75c0-401e-a4de-d43589a8dc21,Mikael Damsgaard,M,Västmanlands län,74,2019-07-02
0308306375022,521898f1-51de-46ff-8701-d28b8a0e651d,Roger Haddad,L,Västmanlands län,75,2018-09-24
043972220518,294cd1d7-df0b-4794-b433-b3892d3ad29d,Jasenko Omanovic,S,Västernorrlands län,76,2021-09-01
0779781772919,a761212d-42d3-4b7d-a535-58fb33d2098d,Kristina Nilsson,S,Västernorrlands län,77,2018-09-24
0395154929710,e1aece83-3de4-43b1-8869-15c9c23551e5,Anders Frimert,S,Jämtlands län,78,2021-11-30
0472349361027,f8d1d1b6-f008-446e-a7f8-dd324fbb71d4,Kalle Olsson,S,Jämtlands län,79,2019-01-14
0956444284814,56698f88-e33a-41fe-9c62-a9c53b3e793d,Per Bolund,MP,Stockholms kommun,80,2021-11-30
0126797549328,0b564224-f764-4bfc-87f6-80fcaa33fa46,Johan Forssell,M,Stockholms kommun,81,2018-09-24
0285631067215,4eda0e46-58a1-446f-b12b-1de6132f4f35,Robert Halef,KD,Stockholms län,82,2018-09-24
0638497389621,04727b66-64cd-4880-be85-dc8fe873bf8d,Julia Kronlid,SD,Stockholms län,83,2018-09-24
0166790812128,b86c28d2-48d1-41a6-bea3-b3317cdfeec8,Hanif Bali,M,Stockholms län,84,2018-09-24
0982795248728,0ab695ba-6994-11d7-ae76-0004755038ce,Jakob Forssmed,KD,Stockholms län,85,2020-02-21
0732677378827,c994a157-6301-46d2-a111-abe58ec220f4,Marta Obminska,M,Uppsala län,86,2022-04-09
075747847023,82c56b96-b106-4b16-958c-98b153d02639,Gustaf Lantz,S,Uppsala län,87,2020-12-16
0860364634014,df8c5ae3-43e8-4d8a-bf64-67b9a78fef66,Mattias Ottosson,S,Östergötlands län,88,2018-09-24
0150118366721,1c03e794-a9a3-43d5-810a-7951e4c70901,Linda Westerlund Snecker,V,Östergötlands län,89,2018-09-24
0170630324419,679f593a-0cce-4fbc-a5e4-0d803b93ac20,Per Schöldberg,C,Kronobergs län,90,2019-03-12
0304498908019,aecfc5a6-954f-41b7-8593-998f1c446e1b,Gudrun Brunegård,KD,Kalmar län,91,2019-04-01
0136310791918,d7c3202c-83e4-11d4-ae60-0050040c9b55,Marie Granlund,S,Malmö kommun,92,2021-10-20
0926214745119,a4581b8d-78fd-41c1-a55d-7fe9ed93c878,Heléne Björklund,S,Blekinge län,93,2018-09-24
0306286538528,a6a33386-bc67-4702-aa8c-331ffe7e2f9c,Sofia Damm,KD,Skåne läns södra,94,2018-09-24
023767922422,66fca0ac-0ebb-4bd0-b1e1-f34e223d2f1b,Mats Persson,L,Skåne läns södra,95,2018-09-24
037781229619,5c165eb8-a2d3-4991-8732-430ea585d763,Staffan Eklöf,SD,Hallands län,96,2018-09-24
0598792324417,fa0256bd-46ac-4027-be42-ffebef7b0dcf,Ulrika Jörgensen,M,Hallands län,97,2018-09-24
0875221317013,11d950d5-e41f-4e94-af86-ae8a1996d81b,Gunilla Carlsson,S,Göteborgs kommun,98,2018-09-24
0409540163215,eec523be-f85c-43d5-83b0-e734e43905d1,Hans Rothenberg,M,Göteborgs kommun,99,2018-09-24
0781520322912,26eb9dcc-8638-445e-8356-ba8fdeb6d742,Jörgen Hellman,S,Västra Götalands läns norra,100,2018-09-24
0226631365426,39797ca4-c136-41c6-bf6b-feb256dee6b3,Mikael Larsson,C,Västra Götalands läns södra,101,2018-09-24
0682989845822,de1f77c9-338c-4547-a223-9898cd8ed084,Håkan Svenneling,V,Värmlands län,102,2018-09-24
